"species";"meters_year_50";"meters_year_99"
"Crucihimalaya bursifolia";0,1;1
"Cryptocoleopsis imbricata";10;500
"Cryptogramma acrostichoides";10;500
"Cryptogramma crispa";10;500
"Cryptogramma stelleri";2;15
"Ctenidium molluscum";10;500
"Cuscuta europaea";1;5
"Cuscuta lupuliformis";1;5
"Cynanchum thesioides";10;500
"Cynodontium asperifolium";10;500
"Cynodontium bruntonii";2;15
"Cynodontium fallax";2;15
"Cynodontium jenneri";2;15
"Cynodontium polycarpum";10;500
"Cynodontium strumiferum";10;500
"Cynodontium tenellum";2;15
"Cynoglossum officinale";1;5
"Cypripedium calceolus";2;15
"Cypripedium guttatum";2;15
"Cypripedium macranthos";10;500
"Cypripedium parviflorum";2;15
"Cyrtomnium hymenophylloides";10;500
"Cyrtomnium hymenophyllum";10;500
"Cystopteris fragilis";10;500
"Cystopteris montana";10;500
"Cystopteris sudetica";10;500
"Dactylis glomerata";1;5
"Dactylorhiza fuchsii";2;15
"Dactylorhiza incarnata";10;500
"Dactylorhiza maculata";2;15
"Dactylorhiza majalis";10;500
"Dactylorhiza viridis";10;500
"Danthonia intermedia";400;1500
"Danthonia spicata";400;1500
"Daphne mezereum";400;1500
"Dasiphora fruticosa";1;5
"Datura stramonium";1;5
"Delphinium brachycentrum";1;5
"Delphinium cheilanthum";0,1;1
"Delphinium elatum";1;5
"Delphinium grandiflorum";1;5
"Delphinium korshinskyanum";0,1;1
"Delphinium middendorffii";1;5
"Delphinium ochotense";0,1;1
"Deschampsia cespitosa";1;5
"Deschampsia obensis";0,1;1
"Deschampsia sukatschewii";1;5
"Descurainia incana";0,1;1
"Descurainia sophia";1;5
"Descurainia sophioides";0,1;1
"Dianthus arenarius";0,1;1
"Dianthus barbatus";1;5
"Dianthus chinensis";1;5
"Dianthus deltoides";0,1;1
"Dianthus repens";0,1;1
"Dianthus superbus";1;5
"Diapensia lapponica";0,1;1
"Dicentra peregrina";2;15
"Dichelyma falcatum";10;500
"Dichelyma uncinatum";2;15
"Dichodontium pellucidum";10;500
"Dicranella cerviculata";10;500
"Dicranella crispa";10;500
"Dicranella heteromalla";2;15
"Dicranella schreberiana";10;500
"Dicranodontium denudatum";2;15
"Dicranoweisia cirrata";10;500
"Dicranoweisia crispula";10;500
"Dicranum acutifolium";10;500
"Dicranum angustum";10;500
"Dicranum bardunovii";10;500
"Dicranum bonjeanii";10;500
"Dicranum brevifolium";10;500
"Dicranum drummondii";2;15
"Dicranum elongatum";10;500
"Dicranum flagellare";2;15
"Dicranum flexicaule";2;15
"Dicranum fragilifolium";2;15
"Dicranum fuscescens";2;15
"Dicranum groenlandicum";10;500
"Dicranum howellii";2;15
"Dicranum laevidens";2;15
"Dicranum leioneuron";10;500
"Dicranum majus";2;15
"Dicranum montanum";2;15
"Dicranum muehlenbeckii";10;500
"Dicranum polysetum";2;15
"Dicranum schljakovii";10;500
"Dicranum scoparium";10;500
"Dicranum septentrionale";10;500
"Dicranum spadiceum";10;500
"Dicranum spurium";2;15
"Dicranum tauricum";2;15
"Dicranum undulatum";10;500
"Dicranum viride";2;15
"Didymodon fallax";10;500
"Didymodon giganteus";10;500
"Didymodon icmadophilus";2;15
"Didymodon rigidulus";2;15
"Digitalis grandiflora";1;5
"Digitalis purpurea";1;5
"Digitaria sanguinalis";1;5
"Diphasiastrum alpinum";2;15
"Diphasiastrum complanatum";2;15
"Diphasiastrum montellii";2;15
"Diphasiastrum sitchense";2;15
"Diphyscium foliosum";2;15
"Diplazium sibiricum";2;15
"Diplophyllum albicans";2;15
"Diplophyllum obtusifolium";2;15
"Diplophyllum taxifolium";10;500
"Distichium capillaceum";10;500
"Distichium inclinatum";10;500
"Ditrichum crispatissimum";10;500
"Ditrichum pallidum";2;15
"Dodecatheon frigidum";0,1;1
"Dontostemon pinnatifidus";0,1;1
"Doronicum altaicum";10;500
"Douinia imbricata";2;15
"Douinia ovata";2;15
"Douinia plicata";2;15
"Draba alpina";0,1;1
"Draba arctica";1;5
"Draba arctogena";1;5
"Draba aurea";0,1;1
"Draba borealis";1;5
"Draba breweri";1;5
"Draba cana";1;5
"Draba chamissonis";0,1;1
"Draba cinerea";1;5
"Draba corymbosa";0,1;1
"Draba crassifolia";0,1;1
"Draba densifolia";0,1;1
"Draba fladnizensis";0,1;1
"Draba glabella";0,1;1
"Draba glacialis";0,1;1
"Draba hirta";0,1;1
"Draba hyperborea";0,1;1
"Draba incana";0,1;1
"Draba incerta";1;5
"Draba juvenilis";1;5
"Draba lactea";0,1;1
"Draba lanceolata";1;5
"Draba lonchocarpa";0,1;1
"Draba macrocarpa";1;5
"Draba micropetala";1;5
"Draba murrayi";1;5
"Draba nemorosa";0,1;1
"Draba nivalis";0,1;1
"Draba norvegica";0,1;1
"Draba oblongata";0,1;1
"Draba ochroleuca";0,1;1
"Draba ogilviensis";0,1;1
"Draba oxycarpa";1;5
"Draba palanderiana";1;5
"Draba pauciflora";0,1;1
"Draba pilosa";0,1;1
"Draba pohlei";0,1;1
"Draba porsildii";1;5
"Draba prozorovskii";0,1;1
"Draba pygmaea";0,1;1
"Draba ruaxes";0,1;1
"Draba sibirica";0,1;1
"Draba stenoloba";1;5
"Draba stenopetala";0,1;1
"Draba subcapitata";0,1;1
"Draba ussuriensis";1;5
"Draba verna";0,1;1
"Dracocephalum nutans";1;5
"Dracocephalum palmatum";1;5
"Dracocephalum parviflorum";0,1;1
"Dracocephalum ruyschiana";1;5
"Drepanium fastigiatum";10;500
"Drepanocladus aduncus";10;500
"Drepanocladus angustifolius";10;500
"Drepanocladus arcticus";10;500
"Drepanocladus brevifolius";10;500
"Drepanocladus capillifolius";10;500
"Drepanocladus longifolius";10;500
"Drepanocladus lycopodioides";10;500
"Drepanocladus polygamus";10;500
"Drepanocladus sendtneri";10;500
"Drepanocladus sordidus";10;500
"Drepanocladus turgescens";10;500
"Drosera anglica";0,1;1
"Drosera rotundifolia";0,1;1
"Dryas drummondii";10;500
"Dryas grandis";10;500
"Dryas integrifolia";10;500
"Dryas octopetala";10;500
"Drymocallis rupestris";1;5
"Dryopteris carthusiana";2;15
"Dryopteris cristata";2;15
"Dryopteris dilatata";2;15
"Dryopteris expansa";2;15
"Dryopteris filix-mas";2;15
"Dryopteris fragrans";2;15
"Dupontia fisheri";1;5
"Echinochloa crus-galli";400;1500
"Echinocystis lobata";400;1500
"Echinops ritro";400;1500
"Echinops sphaerocephalus";400;1500
"Echium vulgare";1;5
"Elaeagnus angustifolia";400;1500
"Elaeagnus commutata";400;1500
"Elatine hydropiper";400;1500
"Elatine orthosperma";400;1500
"Elatine triandra";400;1500
"Eleocharis acicularis";400;1500
"Eleocharis mamillata";400;1500
"Eleocharis palustris";400;1500
"Eleocharis quinqueflora";400;1500
"Eleocharis uniglumis";400;1500
"Elodea canadensis";400;1500
"Elsholtzia ciliata";2;15
"Elymus alaskanus";0,1;1
"Elymus caninus";1;5
"Elymus confusus";0,1;1
"Elymus fibrosus";1;5
"Elymus gmelinii";0,1;1
"Elymus ircutensis";0,1;1
"Elymus jacutensis";0,1;1
"Elymus lanceolatus";1;5
"Elymus macrourus";0,1;1
"Elymus mutabilis";0,1;1
"Elymus repens";1;5
"Elymus sajanensis";1;5
"Elymus sibiricus";0,1;1
"Elymus violaceus";1;5
"Empetrum nigrum";400;1500
"Encalypta affinis";10;500
"Encalypta alpina";10;500
"Encalypta brevicollis";10;500
"Encalypta ciliata";2;15
"Encalypta longicollis";10;500
"Encalypta mutica";10;500
"Encalypta pilifera";10;500
"Encalypta procera";10;500
"Encalypta rhabdocarpa";10;500
"Encalypta rhaptocarpa";10;500
"Encalypta streptocarpa";10;500
"Encalypta vulgaris";10;500
"Endocellion glaciale";10;500
"Endocellion sibiricum";10;500
"Endogemma caespiticia";2;15
"Entodon concinnus";10;500
"Ephedra dahurica";400;1500
"Ephedra distachya";400;1500
"Ephedra monosperma";400;1500
"Epilobium alsinifolium";10;500
"Epilobium anagallidifolium";10;500
"Epilobium arcticum";10;500
"Epilobium ciliatum";10;500
"Epilobium collinum";10;500
"Epilobium davuricum";10;500
"Epilobium hirsutum";10;500
"Epilobium hornemannii";10;500
"Epilobium lactiflorum";10;500
"Epilobium leptocarpum";10;500
"Epilobium leptophyllum";10;500
"Epilobium montanum";2;15
"Epilobium palustre";10;500
"Epilobium roseum";10;500
"Epilobium tetragonum";10;500
"Epipactis atrorubens";2;15
"Epipactis helleborine";2;15
"Epipactis palustris";10;500
"Epipogium aphyllum";2;15
"Equisetum arvense";10;500
"Equisetum fluviatile";10;500
"Equisetum hyemale";2;15
"Equisetum palustre";10;500
"Equisetum pratense";2;15
"Equisetum scirpoides";10;500
"Equisetum sylvaticum";2;15
"Equisetum variegatum";10;500
"Eragrostis pilosa";0,1;1
"Eremogone capillaris";0,1;1
"Eremogone formosa";0,1;1
"Eremogone procera";1;5
"Eremonotus myriocarpus";10;500
"Eremopyrum triticeum";400;1500
"Erigeron acris";10;500
"Erigeron alpicola";10;500
"Erigeron annuus";10;500
"Erigeron borealis";10;500
"Erigeron canadensis";10;500
"Erigeron compositus";10;500
"Erigeron denalii";10;500
"Erigeron elatus";10;500
"Erigeron glabellus";10;500
"Erigeron humilis";10;500
"Erigeron hyperboreus";10;500
"Erigeron hyssopifolius";10;500
"Erigeron lonchophyllus";10;500
"Erigeron muirii";10;500
"Erigeron peregrinus";10;500
"Erigeron philadelphicus";10;500
"Erigeron politus";10;500
"Erigeron porsildii";10;500
"Erigeron purpuratus";10;500
"Erigeron silenifolius";10;500
"Erigeron uniflorus";10;500
"Eriogonum flavum";0,1;1
"Eriophorum angustifolium";10;500
"Eriophorum brachyantherum";10;500
"Eriophorum callitrix";10;500
"Eriophorum chamissonis";10;500
"Eriophorum gracile";10;500
"Eriophorum latifolium";10;500
"Eriophorum russeolum";10;500
"Eriophorum scheuchzeri";10;500
"Eriophorum vaginatum";10;500
"Eriophorum virginicum";10;500
"Eriophorum viridicarinatum";10;500
"Eritrichium rupestre";0,1;1
"Eritrichium sericeum";1;5
"Eritrichium splendens";1;5
"Eritrichium villosum";1;5
"Erodium cicutarium";0,1;1
"Erucastrum gallicum";400;1500
"Eryngium planum";40;150
"Erysimum cheiranthoides";1;5
"Erysimum coarctatum";0,1;1
"Erysimum hieraciifolium";1;5
"Erysimum inconspicuum";0,1;1
"Erysimum marschallianum";1;5
"Erysimum pallasii";0,1;1
"Erysimum strictum";1;5
"Erythranthe guttata";1;5
"Erythronium sibiricum";2;15
"Eschscholzia californica";1;5
"Euonymus europaeus";400;1500
"Euonymus verrucosus";400;1500
"Eupatorium cannabinum";2;15
"Euphorbia caesia";2;15
"Euphorbia cyparissias";2;15
"Euphorbia discolor";2;15
"Euphorbia esula";2;15
"Euphorbia helioscopia";2;15
"Euphorbia lucida";2;15
"Euphorbia palustris";2;15
"Euphorbia seguieriana";2;15
"Euphorbia semivillosa";2;15
"Euphorbia virgata";2;15
"Euphrasia disjuncta";0,1;1
"Euphrasia fennica";400;1500
"Euphrasia frigida";0,1;1
"Euphrasia hirtella";0,1;1
"Euphrasia hudsoniana";0,1;1
"Euphrasia hyperborea";0,1;1
"Euphrasia maximowiczii";0,1;1
"Euphrasia nemorosa";0,1;1
"Euphrasia pectinata";0,1;1
"Euphrasia stricta";0,1;1
"Euphrasia subarctica";1;5
"Euphrasia wettsteinii";1;5
"Eurhynchiastrum pulchellum";10;500
"Eurhynchium angustirete";2;15
"Eurhynchium striatum";2;15
"Eurybia sibirica";10;500
"Euthamia graminifolia";10;500
"Eutrema edwardsii";1;5
"Eutrema salsugineum";1;5
"Exsertotheca crispa";2;15
"Fagopyrum esculentum";1;5
"Fagopyrum tataricum";1;5
"Falcaria vulgaris";40;150
"Fallopia convolvulus";2;15
"Fallopia dumetorum";2;15
"Festuca altaica";0,1;1
"Festuca altissima";0,1;1
"Festuca baffinensis";0,1;1
"Festuca brachyphylla";1;5
"Festuca brevissima";0,1;1
"Festuca edlundiae";1;5
"Festuca hyperborea";0,1;1
"Festuca kolymensis";0,1;1
"Festuca kryloviana";0,1;1
"Festuca lenensis";0,1;1
"Festuca ovina";1;5
"Festuca pratensis";0,1;1
"Festuca pseudovina";0,1;1
"Festuca richardsonii";1;5
"Festuca rubra";1;5
"Festuca rupicola";0,1;1
"Festuca saximontana";0,1;1
"Festuca valesiaca";1;5
"Festuca vivipara";0,1;1
"Festuca viviparoidea";0,1;1
"Ficaria verna";2;15
"Filago arvensis";10;500
"Filipendula ulmaria";10;500
"Filipendula vulgaris";10;500
"Fissidens adianthoides";10;500
"Fissidens bryoides";10;500
"Fissidens dubius";10;500
"Fissidens exilis";10;500
"Fissidens osmundoides";10;500
"Fissidens polyphyllus";2;15
"Fissidens taxifolius";10;500
"Flexitrichum flexicaule";10;500
"Fontinalis antipyretica";10;500
"Fontinalis dalecarlica";10;500
"Fontinalis hypnoides";10;500
"Fontinalis neomexicana";10;500
"Fontinalis squamosa";10;500
"Fragaria chiloensis";400;1500
"Fragaria moschata";400;1500
"Fragaria orientalis";400;1500
"Fragaria vesca";400;1500
"Fragaria virginiana";400;1500
"Fragaria viridis";400;1500
"Frangula alnus";400;1500
"Fraxinus pennsylvanica";40;150
"Fritillaria camschatcensis";1;5
"Fritillaria meleagroides";0,1;1
"Frullania bolanderi";2;15
"Frullania davurica";10;500
"Frullania dilatata";2;15
"Frullania fragilifolia";10;500
"Frullania nisquallensis";2;15
"Frullania subarctica";10;500
"Frullania tamarisci";2;15
"Fumaria officinalis";2;15
"Funaria arctica";10;500
"Funaria hygrometrica";10;500
"Funaria polaris";10;500
"Fuscocephaloziopsis albescens";10;500
"Fuscocephaloziopsis connivens";10;500
"Fuscocephaloziopsis leucantha";2;15
"Fuscocephaloziopsis loitlesbergeri";2;15
"Fuscocephaloziopsis lunulifolia";2;15
"Fuscocephaloziopsis monticola";10;500
"Fuscocephaloziopsis pachycaulis";10;500
"Fuscocephaloziopsis pleniceps";10;500
"Gagea fragifera";2;15
"Gagea lutea";2;15
"Gagea serotina";0,1;1
"Galatella dahurica";10;500
"Galatella sedifolia";10;500
"Galearis rotundifolia";2;15
"Galega orientalis";1;5
"Galeopsis bifida";1;5
"Galeopsis ladanum";1;5
"Galeopsis segetum";0,1;1
"Galeopsis speciosa";1;5
"Galeopsis tetrahit";1;5
"Galinsoga parviflora";1;5
"Galinsoga quadriradiata";1;5
"Galium album";1;5
"Galium aparine";1;5
"Galium boreale";1;5
"Galium dahuricum";0,1;1
"Galium kamtschaticum";1;5
"Galium labradoricum";1;5
"Galium mollugo";1;5
"Galium odoratum";0,1;1
"Galium palustre";1;5
"Galium rivale";1;5
"Galium rubioides";400;1500
"Galium spurium";1;5
"Galium tinctorium";0,1;1
"Galium trifidum";400;1500
"Galium triflorum";400;1500
"Galium uliginosum";400;1500
"Galium verum";1;5
"Gaultheria hispidula";400;1500
"Genista tinctoria";1;5
"Gentiana algida";1;5
"Gentiana aquatica";1;5
"Gentiana cruciata";0,1;1
"Gentiana decumbens";1;5
"Gentiana douglasiana";0,1;1
"Gentiana glauca";0,1;1
"Gentiana grandiflora";0,1;1
"Gentiana macrophylla";0,1;1
"Gentiana nivalis";0,1;1
"Gentiana pneumonanthe";1;5
"Gentiana prostrata";0,1;1
"Gentiana squarrosa";1;5
"Gentiana triflora";0,1;1
"Gentiana verna";0,1;1
"Gentianella amarella";0,1;1
"Gentianella aurea";0,1;1
"Gentianella campestris";0,1;1
"Gentianella propinqua";0,1;1
"Gentianopsis barbata";0,1;1
"Gentianopsis ciliata";0,1;1
"Gentianopsis detonsa";1;5
"Geocalyx graveolens";2;15
"Geocaulon lividum";400;1500
"Geranium erianthum";0,1;1
"Geranium krylovii";1;5
"Geranium palustre";1;5
"Geranium pratense";1;5
"Geranium pusillum";0,1;1
"Geranium robertianum";1;5
"Geranium sibiricum";1;5
"Geranium sylvaticum";1;5
"Geum aleppicum";400;1500
"Geum calthifolium";10;500
"Geum glaciale";10;500
"Geum macrophyllum";400;1500
"Geum pentapetalum";10;500
"Geum rivale";10;500
"Geum rossii";0,1;1
"Geum triflorum";10;500
"Geum urbanum";400;1500
"Glaux maritima";0,1;1
"Glebionis segetum";2;15
"Glechoma hederacea";2;15
"Glehnia littoralis";1;5
"Glyceria borealis";400;1500
"Glyceria fluitans";400;1500
"Glyceria grandis";400;1500
"Glyceria lithuanica";400;1500
"Glyceria maxima";400;1500
"Glyceria notata";400;1500
"Glyceria pulchella";400;1500
"Glyceria striata";400;1500
"Glyceria triflora";400;1500
"Glycyrrhiza uralensis";1;5
"Gnaphalium norvegicum";10;500
"Gnaphalium supinum";10;500
"Gnaphalium sylvaticum";10;500
"Gnaphalium uliginosum";10;500
"Gollania turgens";2;15
"Goniolimon speciosum";40;150
"Goodyera repens";2;15
"Grimmia alpestris";10;500
"Grimmia anodon";10;500
"Grimmia decipiens";10;500
"Grimmia donniana";10;500
"Grimmia elatior";10;500
"Grimmia elongata";10;500
"Grimmia funalis";10;500
"Grimmia hartmanii";2;15
"Grimmia incurva";10;500
"Grimmia jacutica";10;500
"Grimmia laevigata";10;500
"Grimmia longirostris";10;500
"Grimmia mollis";10;500
"Grimmia montana";10;500
"Grimmia muehlenbeckii";2;15
"Grimmia ovalis";10;500
"Grimmia plagiopodia";10;500
"Grimmia pulvinata";10;500
"Grimmia ramondii";10;500
"Grimmia reflexidens";10;500
"Grimmia tergestina";10;500
"Grimmia torquata";2;15
"Grindelia squarrosa";10;500
"Gymnadenia conopsea";10;500
"Gymnocarpium continentale";10;500
"Gymnocarpium dryopteris";2;15
"Gymnocarpium robertianum";10;500
"Gymnocolea inflata";10;500
"Gymnomitrion alpinum";10;500
"Gymnomitrion commutatum";10;500
"Gymnomitrion concinnatum";10;500
"Gymnomitrion corallioides";10;500
"Gymnomitrion coralloides";10;500
"Gymnomitrion obtusum";10;500
"Gymnomitrion pacificum";10;500
"Gymnomitrion revolutum";10;500
"Gymnostomum aeruginosum";10;500
"Gypsophila elegans";40;150
"Gypsophila fastigiata";1;5
"Gypsophila sambukii";1;5
"Gyrothyra underwoodiana";10;500
"Hackelia deflexa";400;1500
"Halenia corniculata";0,1;1
"Halerpestes cymbalaria";400;1500
"Halerpestes sarmentosus";400;1500
"Hamatocaulis lapponicus";10;500
"Hamatocaulis vernicosus";10;500
"Hammarbya paludosa";10;500
"Haplocladium microphyllum";2;15
"Harpanthus flotovianus";2;15
"Harrimanella hypnoides";10;500
"Harrimanella stelleriana";10;500
"Hedwigia ciliata";10;500
"Hedwigia emodica";10;500
"Hedwigia stellata";10;500
"Hedysarum alpinum";1;5
"Hedysarum boreale";0,1;1
"Hedysarum dasycarpum";1;5
"Hedysarum gmelinii";1;5
"Hedysarum hedysaroides";1;5
"Hedysarum inundatum";1;5
"Hedysarum turczaninovii";1;5
"Hedysarum vicioides";1;5
"Helianthemum nummularium";0,1;1
"Helianthus annuus";1;5
"Helianthus tuberosus";1;5
"Helichrysum arenarium";10;500
"Helictochloa hookeri";1;5
"Helodium blandowii";10;500
"Hemerocallis fulva";2;15
"Hemerocallis lilioasphodelus";2;15
"Hemerocallis minor";2;15
"Hennediella heimii";10;500
"Heracleum dissectum";0,1;1
"Heracleum sphondylium";1;5
"Herbertus aduncus";10;500
"Herbertus dicranus";10;500
"Herbertus sendtneri";10;500
"Herbertus stramineus";10;500
"Herniaria glabra";400;1500
"Herzogiella adscendens";10;500
"Herzogiella striatella";10;500
"Hesperis matronalis";1;5
"Hesperis sibirica";0,1;1
"Heterocladium dimorphum";2;15
"Heterocladium macounii";10;500
"Heteropappus altaicus";10;500
"Heuchera glabra";0,1;1
"Heuchera richardsonii";1;5
"Hieracium alpinum";10;500
"Hieracium caespitosum";10;500
"Hieracium lactucella";10;500
"Hieracium laevigatum";2;15
"Hieracium murorum";2;15
"Hieracium sp. LG-2009";2;15
"Hieracium triste";10;500
"Hieracium umbellatum";2;15
"Hierochloe glabra";1;5
"Hippophae rhamnoides";1;5
"Hippuris tetraphylla";400;1500
"Hippuris vulgaris";400;1500
"Hippuris x lanceolata";400;1500
"Homalia trichomanoides";2;15
"Homalothecium fulgescens";2;15
"Homalothecium sericeum";10;500
"Honckenya peploides";0,1;1
"Hookeria lucens";2;15
"Hordeum brachyantherum";1;5
"Hordeum brevisubulatum";0,1;1
"Hordeum jubatum";0,1;1
"Hordeum roshevitzii";1;5
"Hordeum vulgare";1;5
"Hottonia palustris";400;1500
"Huperzia haleakalae";10;500
"Huperzia selago";10;500
"Hyalopoa lanatiflora";0,1;1
"Hydrilla verticillata";1;5
"Hygroamblystegium fluviatile";10;500
"Hygrobiella laxifolia";10;500
"Hygrohypnella ochracea";10;500
"Hygrohypnella polaris";10;500
"Hygrohypnum alpestre";10;500
"Hygrohypnum eugyrium";10;500
"Hygrohypnum luridum";10;500
"Hygrohypnum montanum";10;500
"Hygrohypnum norvegicum";10;500
"Hylocomiastrum pyrenaicum";10;500
"Hylocomiastrum umbratum";2;15
"Hylocomium splendens";10;500
"Hylotelephium cyaneum";1;5
"Hylotelephium pallescens";1;5
"Hylotelephium telephium";2;15
"Hymenoloma crispulum";10;500
"Hymenostylium recurvirostrum";10;500
"Hyoscyamus niger";1;5
"Hypericum ascyron";1;5
"Hypericum attenuatum";1;5
"Hypericum elegans";1;5
"Hypericum hirsutum";1;5
"Hypericum kamtschaticum";1;5
"Hypericum maculatum";1;5
"Hypericum perforatum";1;5
"Hypnum callichroum";2;15
"Hypnum cupressiforme";10;500
"Hypnum hamulosum";10;500
"Hypnum holmenii";2;15
"Hypnum jutlandicum";10;500
"Hypnum plicatulum";10;500
"Hypnum procerrimum";2;15
"Hypnum revolutum";10;500
"Hypnum subimponens";10;500
"Hypnum vaucheri";2;15
"Hypopitys monotropa";2;15
"Ilex rugosa";400;1500
"Impatiens glandulifera";1;5
"Impatiens noli-tangere";1;5
"Impatiens parviflora";1;5
"Indusiella thianschanica";10;500
"Inula helenium";10;500
"Inula salicina";10;500
"Iris aphylla";0,1;1
"Iris humilis";0,1;1
"Iris laevigata";1;5
"Iris orientalis";1;5
"Iris pseudacorus";1;5
"Iris ruthenica";0,1;1
"Iris sanguinea";1;5
"Iris setosa";1;5
"Iris sibirica";1;5
"Isatis jacutensis";0,1;1
"Isatis tinctoria";1;5
"Isoetes asiatica";400;1500
"Isoetes echinospora";400;1500
"Isoetes lacustris";400;1500
"Isoetes maritima";400;1500
"Isopaches bicrenatus";10;500
"Isopterygiopsis muelleriana";2;15
"Isopterygiopsis pulchella";2;15
"Isopterygium pulchellum";2;15
"Isothecium alopecuroides";2;15
"Isothecium myosuroides";2;15
"Iwatsukiella leucotricha";2;15
"Jacobaea erucifolia";10;500
"Jacobaea pseudoarnica";10;500
"Jacobaea vulgaris";10;500
"Juncus alpinoarticulatus";1;5
"Juncus arcticus";1;5
"Juncus articulatus";1;5
"Juncus balticus";1;5
"Juncus biglumis";0,1;1
"Juncus brevicaudatus";1;5
"Juncus bufonius";0,1;1
"Juncus bulbosus";0,1;1
"Juncus castaneus";0,1;1
"Juncus compressus";0,1;1
"Juncus conglomeratus";1;5
"Juncus drummondii";1;5
"Juncus effusus";1;5
"Juncus ensifolius";0,1;1
"Juncus filiformis";1;5
"Juncus gerardii";1;5
"Juncus longirostris";1;5
"Juncus minutulus";0,1;1
"Juncus ranarius";0,1;1
"Juncus stygius";0,1;1
"Juncus tenuis";0,1;1
"Juncus triglumis";0,1;1
"Jungermannia atrovirens";10;500
"Jungermannia borealis";10;500
"Jungermannia exsertifolia";10;500
"Jungermannia leiantha";10;500
"Jungermannia obovata";10;500
"Jungermannia polaris";10;500
"Jungermannia pumila";2;15
"Juniperus communis";400;1500
"Juniperus horizontalis";400;1500
"Kadenia dubia";1;5
"Kalmia procumbens";40;150
"Kiaeria blyttii";10;500
"Kiaeria glacialis";10;500
"Kiaeria starkei";10;500
"Kindbergia praelonga";10;500
"Knautia arvensis";2;15
"Knorringia sibirica";1;5
"Koeleria asiatica";0,1;1
"Koeleria glauca";1;5
"Koeleria macrantha";0,1;1
"Koeleria pyramidata";1;5
"Koenigia alpina";400;1500
"Koenigia divaricata";400;1500
"Koenigia islandica";400;1500
"Koenigia ocreata";400;1500
"Koenigia tripterocarpa";400;1500
"Krascheninnikovia ceratoides";1;5
"Lactuca serriola";10;500
"Lactuca sibirica";10;500
"Lactuca tatarica";10;500
"Lagotis glauca";1;5
"Lamium album";2;15
"Lamium amplexicaule";2;15
"Lamium galeobdolon";2;15
"Lamium maculatum";2;15
"Lamium purpureum";2;15
"Lappula consanguinea";400;1500
"Lappula deflexa";400;1500
"Lappula intermedia";400;1500
"Lappula myosotis";400;1500
"Lappula redowskii";400;1500
"Lappula squarrosa";400;1500
"Lapsana communis";2;15
"Larix gmelinii";40;150
"Larix laricina";40;150
"Larix sibirica";40;150
"Lathyrus gmelinii";1;5
"Lathyrus humilis";0,1;1
"Lathyrus japonicus";1;5
"Lathyrus palustris";1;5
"Lathyrus pannonicus";1;5
"Lathyrus pisiformis";1;5
"Lathyrus pratensis";1;5
"Lathyrus rotundifolius";1;5
"Lathyrus sylvestris";1;5
"Lathyrus tuberosus";1;5
"Lathyrus vernus";0,1;1
"Leersia oryzoides";1;5
"Leibnitzia anandria";10;500
"Lemna gibba";400;1500
"Lemna minor";400;1500
"Lemna trisulca";400;1500
"Lemna turionifera";400;1500
"Leontodon hispidus";10;500
"Leonurus cardiaca";1;5
"Leonurus glaucescens";1;5
"Leonurus quinquelobatus";1;5
"Lepidium cartilagineum";0,1;1
"Lepidium densiflorum";0,1;1
"Lepidium draba";1;5
"Lepidium latifolium";1;5
"Lepidium ruderale";0,1;1
"Lepidozia pearsonii";2;15
"Lepidozia reptans";2;15
"Leptarrhena pyrolifolia";1;5
"Leptobryum pyriforme";10;500
"Leptodictyum riparium";10;500
"Leptopyrum fumarioides";0,1;1
"Lescuraea radicosa";2;15
"Lescuraea saxicola";10;500
"Lescuraea secunda";10;500
"Leskea polycarpa";10;500
"Leskeella nervosa";2;15
"Leucanthemum vulgare";1;5
"Leucobryum glaucum";10;500
"Leucodon sciuroides";10;500
"Lewinskya affinis";10;500
"Lewinskya rupestris";2;15
"Leymus ajanensis";1;5
"Leymus arenarius";1;5
"Leymus chinensis";0,1;1
"Leymus innovatus";0,1;1
"Leymus mollis";1;5
"Leymus paboanus";0,1;1
"Leymus racemosus";1;5
"Ligularia sibirica";2;15
"Ligusticum scoticum";400;1500
"Lilium martagon";1;5
"Lilium pensylvanicum";0,1;1
"Lilium pumilum";1;5
"Limonium sareptanum";1;5
"Limosella aquatica";400;1500
"Linaria vulgaris";1;5
"Linnaea borealis";0,1;1
"Linum boreale";0,1;1
"Linum catharticum";0,1;1
"Linum komarovii";1;5
"Linum lewisii";1;5
"Linum perenne";1;5
"Liochlaena lanceolata";2;15
"Lipandra polysperma";1;5
"Lithospermum officinale";1;5
"Littorella uniflora";400;1500
"Lobelia dortmanna";0,1;1
"Lobelia kalmii";0,1;1
"Lobelia sessilifolia";1;5
"Loeskeobryum brevirostre";2;15
"Loeskypnum badium";10;500
"Loeskypnum wickesiae";10;500
"Lolium arundinaceum";1;5
"Lolium giganteum";0,1;1
"Lolium multiflorum";1;5
"Lolium perenne";1;5
"Lolium temulentum";1;5
"Lomatogonium carinthiacum";0,1;1
"Lomatogonium rotatum";0,1;1
"Lonicera caerulea";400;1500
"Lonicera dioica";400;1500
"Lonicera involucrata";400;1500
"Lonicera tatarica";400;1500
"Lonicera villosa";400;1500
"Lonicera xylosteum";400;1500
"Lophocolea bidentata";10;500
"Lophocolea heterophylla";2;15
"Lophocolea minor";10;500
"Lophozia ascendens";2;15
"Lophozia debiliformis";10;500
"Lophozia excisa";10;500
"Lophozia longidens";2;15
"Lophozia murmanica";10;500
